date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact
2022-09-28,shot,,23.0,M,W,Greenville,IN,False,attack,Not fleeing,False,-77.93459999999999,32.6403,True
2015-10-10,shot,gun,42.0,M,B,Lisle,AL,True,attack,Not fleeing,False,-95.9274,31.572900000000004,True
2018-12-05,shot,knife,37.0,M,H,Napa,FL,False,attack,Not fleeing,False,-64.6902,37.8504,True
2022-08-27,shot,gun,37.0,M,H,Charleston,TX,False,attack,Not fleeing,False,-68.2389,35.6391,True
2019-03-06,shot,knife,38.0,M,B,Morgantown,KY,False,attack,Not fleeing,True,-86.346,37.1448,True
2015-07-07,shot,gun,32.0,F,W,Dallas,KY,False,attack,Foot,False,-74.1069,26.650799999999997,True
2018-08-01,shot,gun,29.0,M,H,Oxon Hill,FL,False,attack,Not fleeing,False,-100.8666,30.1392,True
2017-01-18,shot,gun,59.0,M,W,Dallas,TX,True,attack,Not fleeing,False,-80.5698,30.9015,True
2019-08-09,shot,knife,49.0,M,W,Kansas City,NY,True,other,Not fleeing,False,-106.3692,30.573899999999995,True
2016-05-21,shot,gun,54.0,M,W,Oregon City,FL,False,attack,Not fleeing,False,-109.78200000000001,34.5186,True
2020-01-19,shot,gun,44.0,M,H,Sebring,AZ,False,attack,Car,False,-71.8551,36.357299999999995,True
2019-11-05,shot and Tasered,knife,29.0,M,W,East Cleveland,MO,False,other,Not fleeing,False,-100.6569,29.928599999999996,True
2016-11-01,shot,gun,41.0,M,H,Carson City,AZ,False,attack,Foot,True,-109.79820000000001,40.823100000000004,True
2017-05-02,shot,gun,32.0,M,B,Austin,MD,False,attack,Not fleeing,False,-85.977,27.0243,True
2017-08-04,shot,knife,37.0,M,W,Marine City,CT,False,attack,Not fleeing,False,-84.38759999999999,29.193299999999997,True
2016-02-02,shot,gun,46.0,M,B,Rancho Cordova,LA,True,attack,Not fleeing,False,-109.6605,35.7525,True
2015-10-15,shot and Tasered,gun,48.0,M,B,Las Vegas,AR,True,attack,Not fleeing,False,-106.4367,30.637800000000002,True
2021-05-31,shot,knife,30.0,M,H,San Jose,FL,False,attack,Not fleeing,False,-89.5635,30.8304,True
2019-06-28,shot,,46.0,M,W,Pearl,FL,False,other,Car,False,-74.1951,25.2405,True
2017-08-08,shot,gun,43.0,M,H,Dalton,TN,False,attack,Not fleeing,False,-85.284,28.224,True
2016-04-13,shot,gun,59.0,M,H,Stockton,CA,False,attack,Foot,False,-74.6991,36.058499999999995,True
2016-02-07,shot,gun,32.0,M,W,Columbus,MO,False,attack,Not fleeing,False,-66.5226,36.747,True
2015-06-05,shot,gun,48.0,M,W,Santa Maria,OH,True,attack,Not fleeing,False,-96.63300000000001,40.7853,True
2018-02-01,shot,toy weapon,39.0,M,W,Oklahoma City,CA,False,attack,Car,False,-72.1872,23.3559,True
2015-12-05,shot and Tasered,knife,21.0,M,W,Neenah,CA,True,other,Not fleeing,False,-110.1573,33.948899999999995,True
2015-07-23,shot,,38.0,M,W,Meadow Vista,AL,False,other,Not fleeing,False,-105.26219999999999,30.367799999999995,True
2020-02-17,shot,knife,27.0,M,W,Greeneville,IN,False,other,Not fleeing,False,-94.7538,36.024300000000004,True
2020-12-29,shot,gun,33.0,M,B,Charleston,NJ,True,attack,Not fleeing,False,-106.42949999999999,30.4272,True
2016-09-06,shot,gun,18.0,M,W,Phoenix,IN,False,attack,Not fleeing,False,-74.4543,34.6662,True
2020-03-06,shot,knife,34.0,F,B,Fairfield,FL,True,other,Not fleeing,False,-72.1143,23.6205,True
2019-07-05,shot,gun,33.0,M,B,Mountain Grove,NC,False,attack,Not fleeing,False,-106.3719,30.4155,True
2018-08-03,shot,gun,25.0,F,B,Seville,DC,False,attack,Car,False,-105.4854,29.478599999999997,True
2016-08-18,shot,gun,47.0,M,W,Ruidoso,WI,False,attack,Not fleeing,False,-79.6671,27.3231,True
2016-10-25,shot,vehicle,49.0,M,W,Little Rock,OH,False,other,Not fleeing,False,-84.2418,37.4085,True
2018-04-29,shot,gun,19.0,M,W,Franklin,WA,True,attack,Not fleeing,False,-71.9955,33.5169,True
2016-03-15,shot,unarmed,39.0,M,B,Evansville,NY,False,other,Car,False,-80.65889999999999,36.612899999999996,True
2021-01-02,shot,knife,51.0,M,W,Chandler,MD,True,other,Not fleeing,False,-74.4426,25.1244,True
2015-07-09,shot,knife,45.0,M,W,Phoenix,MN,True,attack,Not fleeing,False,-73.99080000000001,32.7132,True
2017-08-13,shot,,35.0,M,B,La Crosse,NC,False,other,Not fleeing,False,-91.4994,29.849399999999996,True
2021-10-09,shot,gun,25.0,M,W,Madison County,GA,False,attack,Not fleeing,False,-100.5138,36.2691,True
2020-10-24,shot,gun,58.0,M,W,Sylvester,AZ,False,attack,Not fleeing,False,-72.4374,24.3216,True
2020-05-27,shot,gun,31.0,M,W,Fullerton,UT,False,attack,Not fleeing,False,-86.4621,30.033900000000003,True
2021-08-11,shot,gun,50.0,M,W,Castaic,UT,False,attack,Not fleeing,False,-107.4015,32.025600000000004,True
2020-04-05,shot and Tasered,hammer,62.0,M,W,Manchester,TX,True,attack,Not fleeing,False,-63.9045,38.0187,True
2020-05-04,shot,gun,48.0,M,W,Muskogee,PA,True,attack,Not fleeing,False,-96.0372,31.5873,True
2020-09-20,shot,unarmed,32.0,M,W,Redmond,MI,False,other,Foot,False,-104.6259,30.3282,True
2015-12-06,shot,gun,24.0,M,B,Richmond Heights,FL,False,attack,Foot,False,-79.56,33.7923,True
2016-05-05,shot,gun,45.0,M,B,Milwaukee,AR,False,attack,Not fleeing,False,-77.697,29.1294,True
2017-03-28,shot and Tasered,knife,32.0,M,H,Lafayette,CA,True,other,Not fleeing,False,-103.61880000000001,32.5845,True
2021-02-23,shot,gun,58.0,M,W,Eagle Point,TN,True,attack,Not fleeing,False,-77.91569999999999,35.019,True
2020-08-02,shot,gun,33.0,M,W,Sarasota,WI,False,attack,Not fleeing,False,-76.9392,36.8001,True
2019-05-11,shot and Tasered,unarmed,27.0,M,W,Chicago,FL,False,other,Foot,False,-65.9331,38.1942,True
2019-01-30,shot,gun,53.0,M,H,Phoenix,AZ,False,attack,Foot,False,-107.8317,35.5698,True
2021-01-20,shot,gun,28.0,M,H,Tucson,UT,False,attack,Car,False,-77.0706,36.4788,True
2022-05-04,shot,knife,45.0,M,H,Essex,CA,True,other,Not fleeing,False,-73.503,26.6832,True
2017-02-16,shot,gun,30.0,M,B,Gardena,DC,True,attack,Not fleeing,False,-95.9787,31.567500000000003,True
2015-10-31,shot,unarmed,34.0,M,H,Opelika,TX,False,attack,Not fleeing,False,-84.9951,35.3106,True
2018-11-21,shot,gun,36.0,M,H,Stillwater,CA,False,attack,Not fleeing,False,-78.7932,34.1991,True
2018-04-28,shot,gun,38.0,M,B,Johns Creek,MD,False,attack,Car,False,-71.9559,35.6742,True
2016-01-27,shot,unarmed,43.0,M,H,Dearborn,CA,False,other,Not fleeing,False,-87.86070000000001,27.446399999999997,True
2019-07-21,shot,gun,18.0,M,H,Tacoma,NM,False,attack,Car,False,-79.4061,27.6858,True
2016-05-18,shot,knife,54.0,M,H,New York,CA,False,other,Not fleeing,False,-85.29480000000001,32.1705,True
2018-04-11,shot,toy weapon,37.0,M,W,Gardena,LA,False,other,Car,False,-80.1486,27.3447,True
2017-10-29,shot,gun,31.0,M,W,Tate County,GA,False,attack,Not fleeing,False,-134.9001,55.095299999999995,True
2015-12-30,shot,toy weapon,40.0,M,B,Fresno,OH,False,attack,Not fleeing,False,-76.79069999999999,46.1286,True
2019-08-31,shot,gun,39.0,M,B,St. Louis,OH,False,attack,Not fleeing,False,-63.7893,37.8576,True
2017-03-19,shot,gun,25.0,M,B,Gifford,FL,False,attack,Car,False,-77.7978,37.9044,True
2020-07-25,shot,gun,22.0,M,B,Salt Lake City,TX,False,attack,Not fleeing,False,-65.2599,37.593,True
2020-06-02,shot,gun,30.0,M,B,Vallejo,NC,True,attack,Not fleeing,False,-67.5342,36.9279,True
2016-03-07,shot,gun,57.0,M,B,Topeka,NJ,False,attack,Not fleeing,False,-86.3757,32.0625,True
2018-11-05,shot,gun,52.0,M,W,Glen Burnie,KS,False,attack,Not fleeing,False,-88.5636,31.1373,True
2017-05-02,shot,gun,32.0,M,W,Austin,OK,True,attack,Not fleeing,False,-87.85889999999999,32.0355,True
2021-09-12,shot,gun,39.0,M,W,San Antonio,NC,False,attack,Not fleeing,False,-108.1818,35.28,True
2019-10-13,shot,gun,36.0,M,W,Glendale,CO,False,attack,Not fleeing,False,-78.9723,37.622699999999995,True
2019-09-28,shot,gun,43.0,M,W,Baltimore,AZ,True,attack,Car,False,-81.26910000000001,34.7463,True
2017-03-26,shot and Tasered,unarmed,20.0,M,W,Delray Beach,FL,True,other,Foot,False,-76.0257,30.2544,True
2018-01-16,shot,knife,33.0,M,W,Bedford,MN,True,other,Not fleeing,False,-110.1753,40.2804,True
2019-12-15,shot,toy weapon,54.0,M,W,Minneapolis,KS,True,attack,Foot,True,-109.4706,35.217,True
2016-04-08,shot,,57.0,M,W,Kentwood,TX,False,attack,Car,False,-110.0466,34.4754,True
2019-01-13,shot,gun,28.0,M,W,Calabasas,FL,False,attack,Car,False,-74.2392,24.5727,True
2016-09-30,shot,unarmed,39.0,M,W,Belleville,NC,False,other,Not fleeing,False,-78.12180000000001,32.5278,True
2017-01-21,shot,gun,14.0,M,W,Jean,OK,False,attack,Not fleeing,False,-87.0975,29.605500000000003,True
2016-10-10,shot,knife,37.0,M,H,Irvine,MO,True,other,Not fleeing,False,-107.7732,33.0624,True
2018-11-20,shot,gun,26.0,M,W,Magnolia,VA,True,attack,Car,False,-105.6024,30.997799999999998,True
2020-09-24,shot,gun,28.0,M,B,Sebring,CA,False,attack,Not fleeing,False,-100.8216,37.008900000000004,True
2020-07-16,shot,gun,51.0,M,H,Shoreline,CA,False,attack,Foot,False,-79.3908,28.460700000000003,True
2015-01-13,shot,hatchet,34.0,M,B,Albuquerque,WA,True,other,Not fleeing,False,-86.5395,32.4684,True
2015-06-08,shot and Tasered,unarmed,57.0,M,B,Anaheim,IL,True,other,Not fleeing,False,-79.28370000000001,37.6245,True
2015-03-22,shot,gun,40.0,M,B,Portland,SC,False,attack,Not fleeing,False,-101.07180000000001,30.240000000000002,True
2022-05-18,shot,gun,37.0,M,H,Atlanta,AZ,False,attack,Not fleeing,False,-92.8152,29.4336,True
2022-10-12,shot,toy weapon,21.0,M,W,Philadelphia,FL,True,attack,Not fleeing,False,-80.1351,27.36,True
2015-09-25,shot,gun,50.0,M,W,Akron,KY,False,attack,Not fleeing,False,-73.8477,26.251199999999997,True
2020-01-28,shot,unarmed,54.0,M,W,Scottsdale,WI,False,other,Foot,False,-69.876,38.8449,True
2021-03-07,shot,gun,44.0,F,H,Sparkman,TX,False,attack,Not fleeing,False,-87.3567,32.5206,True
2016-01-14,shot,toy weapon,35.0,M,B,Hurst,VA,False,attack,Foot,False,-80.04690000000001,33.9579,True
2017-10-12,shot,,48.0,M,H,Flagstaff,CA,False,other,Not fleeing,False,-67.6584,36.0342,True
2018-10-08,shot,knife,36.0,M,H,Okarche,TX,True,other,Not fleeing,False,-110.1618,42.4674,True
2020-09-18,shot,unarmed,40.0,M,H,Stanton,FL,False,other,Not fleeing,False,-74.0556,31.4253,True
2015-02-04,shot,gun,37.0,M,W,Orlando,GA,False,attack,Not fleeing,False,-103.2336,38.498400000000004,True
2017-07-04,shot,gun,30.0,M,W,Vandalia,CA,True,attack,Not fleeing,False,-65.1771,37.156499999999994,True
2016-01-28,shot,gun,39.0,M,W,Clackamas County,GA,False,attack,Car,False,-65.12039999999999,39.0456,True
2021-06-28,shot,gun,39.0,M,B,Siskiyou County,AR,False,attack,Not fleeing,False,-85.2507,28.2105,True
2016-01-01,shot,knife,31.0,M,W,San Diego,IN,False,attack,Not fleeing,False,-110.0916,34.1892,True
2018-01-06,shot,gun,28.0,M,B,Birmingham,WV,False,attack,Not fleeing,False,-77.0823,38.6154,True
2017-05-09,shot,gun,34.0,M,B,Lexington,VA,True,attack,Not fleeing,False,-79.155,38.6316,True
2016-10-08,shot,knife,31.0,M,W,Federal Way,MO,False,other,Not fleeing,False,-95.7996,28.6317,True
2015-08-15,shot,gun,26.0,M,W,Carson City,TX,False,attack,Foot,False,-68.5197,35.6211,True
2016-06-12,shot,gun,27.0,M,H,Orlando,IL,False,attack,Not fleeing,False,-65.69550000000001,37.3905,True
2021-03-25,shot and Tasered,knife,20.0,M,W,King George County,IL,False,attack,Car,False,-66.4911,36.8316,True
2018-02-01,shot and Tasered,unarmed,37.0,M,W,Oklahoma City,NH,False,other,Not fleeing,False,-79.28370000000001,37.6245,True
2022-10-13,shot and Tasered,knife,25.0,M,H,Topeka,FL,True,attack,Not fleeing,False,-73.809,26.082900000000002,True
2016-09-06,shot,,21.0,M,H,Omaha,IL,False,other,Car,False,-87.41969999999999,29.893500000000003,True
2020-05-09,shot,gun,30.0,M,B,Silver Spring,MD,True,attack,Not fleeing,False,-94.3506,34.9326,True
2019-03-22,shot,gun,68.0,M,W,Ernul,TX,False,attack,Foot,False,-105.5142,42.914699999999996,True
2016-06-12,shot,knife,84.0,M,W,Eagle Mountain,CO,False,other,Not fleeing,False,-74.8773,27.9594,True
2017-11-08,shot,unarmed,58.0,M,B,Roanoke,TX,False,other,Not fleeing,False,-106.5852,30.8331,True
2015-02-07,shot,gun,51.0,M,B,Calimesa,MN,False,attack,Car,False,-85.6557,26.825400000000002,True
2016-01-27,shot and Tasered,unarmed,23.0,M,W,Lenoir City,VA,False,other,Not fleeing,False,-105.4998,30.710699999999996,True
2017-07-06,shot,unarmed,29.0,M,B,Plant City,NV,False,other,Not fleeing,False,-72.32849999999999,24.5799,True
2016-08-02,shot,gun,35.0,M,B,Palm Bay,GA,False,attack,Not fleeing,False,-104.75460000000001,39.240899999999996,True
2019-07-14,shot,unarmed,29.0,M,W,Hollywood,GA,False,other,Car,False,-85.6449,26.721,True
2015-04-04,shot,knife,49.0,M,B,Zion,MN,False,other,Not fleeing,False,-75.8151,35.7768,True
2015-06-17,shot,gun,53.0,M,N,Clanton,CA,False,attack,Car,False,-74.6046,34.5096,True
2021-07-20,shot,gun,32.0,M,W,Phoenix,UT,True,attack,Car,False,-132.9444,58.35419999999999,True
2019-07-16,shot,gun,18.0,M,W,Porterdale,MN,False,attack,Car,False,-79.46100000000001,27.9594,True
2020-01-13,shot and Tasered,unarmed,28.0,M,B,San Antonio,GA,False,attack,Not fleeing,True,-108.8586,42.4773,True
2015-12-04,shot,gun,62.0,M,H,Mount Washington,CA,False,attack,Not fleeing,False,-71.9379,33.568200000000004,True
2020-12-24,shot,gun,41.0,F,W,Redding,OR,False,attack,Not fleeing,False,-78.8148,37.584900000000005,True
2019-10-30,shot and Tasered,unarmed,63.0,M,B,Lancaster,WI,True,attack,Not fleeing,True,-106.4601,30.5289,True
2019-09-02,shot,gun,23.0,M,H,Missoula,TX,False,other,Foot,False,-77.43870000000001,34.991099999999996,True
2017-05-15,shot,gun,41.0,M,B,Johnson City,IL,False,attack,Not fleeing,False,-79.28370000000001,37.6245,True
2021-01-10,shot,knife,24.0,M,W,Bentonville,TX,False,attack,Not fleeing,False,-82.9143,31.378500000000003,True
2018-12-16,shot,unarmed,41.0,M,W,Mesa,MS,False,other,Not fleeing,False,-76.6071,27.8352,True
2022-04-04,shot,gun,53.0,M,W,Grand Rapids,OH,False,attack,Not fleeing,False,-101.07180000000001,30.240000000000002,True
2019-11-04,shot,knife,56.0,M,B,Two Rivers,TN,True,other,Not fleeing,False,-87.2793,29.519999999999996,True
2017-11-09,shot,unarmed,54.0,M,B,Salisbury,MD,False,other,Car,False,-106.5042,30.4407,True
2020-01-15,shot,gun,32.0,M,B,Fleetwood,CA,False,attack,Not fleeing,False,-80.93700000000001,31.682700000000004,True
2020-10-08,shot,unarmed,59.0,M,W,New York,IL,False,attack,Foot,False,-74.6991,35.9649,True
2022-03-01,shot,unarmed,47.0,M,A,Jacksonville,HI,False,other,Foot,False,-78.5952,37.3878,True
2019-02-10,shot,,24.0,M,W,Waukesha,FL,False,other,Not fleeing,False,-72.6534,31.833,True
2020-05-07,shot,gun,36.0,M,W,Long Beach,OH,False,attack,Not fleeing,False,-82.03500000000001,27.445500000000003,True
2020-07-07,shot,knife,28.0,M,H,Fresno,IL,True,other,Not fleeing,True,-66.4686,36.737100000000005,True
2018-03-01,shot,gun,25.0,M,W,Tucson,KY,False,attack,Not fleeing,False,-109.7919,34.0299,True
2019-12-27,shot,,26.0,M,B,Newport News,IL,False,attack,Car,False,-100.8684,30.115800000000004,True
2016-11-29,shot,unarmed,29.0,M,W,Avon,NE,True,other,Not fleeing,False,-77.95349999999999,31.322699999999998,True
2022-06-01,shot,gun,38.0,M,N,Lubbock,MN,False,attack,Not fleeing,False,-83.9142,34.8345,True
2019-02-02,shot,gun,30.0,M,B,Flagstaff,DE,False,attack,Not fleeing,False,-100.6452,36.567,True
2016-02-05,shot,gun,18.0,M,W,Seaside,NV,False,attack,Not fleeing,False,-75.0123,38.0151,True
2018-09-05,shot,gun,28.0,M,B,Morris,TN,False,attack,Not fleeing,True,-86.3937,32.481,True
2020-08-29,shot,gun,23.0,M,H,Holly Hill,GA,False,attack,Not fleeing,False,-110.4975,40.5045,True
2021-05-11,shot,knife,16.0,F,B,Stockton,TX,False,attack,Not fleeing,True,-107.5392,41.6367,True
2016-03-22,shot,sword,44.0,F,W,Miami,MT,True,other,Car,False,-72.9801,28.851300000000002,True
2016-04-08,shot,,21.0,M,W,Lake Hallie,AL,False,other,Not fleeing,False,-106.35390000000001,30.4875,True
2015-12-14,shot,gun,16.0,M,B,New Orleans,VA,True,attack,Not fleeing,False,-80.4204,38.7639,True
2018-12-10,shot,gun,35.0,M,A,Noble County,AR,False,attack,Not fleeing,False,-79.371,31.330799999999996,True
2019-12-11,shot,toy weapon,36.0,M,W,Nelson Township,FL,True,attack,Not fleeing,False,-77.2911,38.1267,True
2016-11-28,shot,gun,30.0,M,W,Columbus,TN,False,attack,Not fleeing,False,-109.1916,34.7832,True
2019-06-11,shot,gun,23.0,M,H,Orlando,UT,True,attack,Not fleeing,False,-70.2882,34.669799999999995,True
2022-05-03,shot,,57.0,M,H,Los Angeles,AZ,False,other,Not fleeing,False,-106.32509999999999,30.613500000000002,True
2016-01-30,shot,unarmed,18.0,M,B,Sugar Creek,CA,True,other,Not fleeing,False,-72.405,24.853499999999997,True
2015-12-05,shot,gun,43.0,M,B,St. Louis,LA,False,other,Other,False,-73.9845,37.2978,True
2020-08-12,shot,gun,39.0,F,W,Reseda,NY,False,attack,Not fleeing,False,-84.9888,28.2375,True
2022-03-02,shot,knife,63.0,M,W,Oklahoma City,LA,False,attack,Not fleeing,False,-72.78840000000001,31.858200000000004,True
2019-01-24,shot,unarmed,36.0,M,B,St. Louis,FL,False,other,Foot,False,-78.588,37.4193,True
2016-11-18,shot,knife,27.0,M,W,Fort Walton Beach,NE,False,other,Not fleeing,False,-72.57690000000001,25.225199999999997,True
2020-02-14,shot,gun,37.0,M,B,Silverton,FL,False,attack,Car,False,-106.6113,30.8115,True
2017-02-02,shot,gun,37.0,M,W,Orange Park,TX,True,attack,Not fleeing,False,-80.93700000000001,31.682700000000004,True
2017-09-17,shot,machete,45.0,M,W,Los Angeles,FL,False,other,Not fleeing,False,-110.16810000000001,42.509699999999995,True
2018-02-28,shot,gun,36.0,M,B,Orlando,UT,True,attack,Not fleeing,False,-95.9031,31.572,True
2016-12-22,shot,gun,23.0,M,W,Capitol Heights,TX,True,attack,Not fleeing,False,-84.3867,37.4292,True
2018-02-04,shot,gun,41.0,M,W,Los Angeles,TX,True,attack,Not fleeing,False,-109.8216,33.8112,True
2015-07-26,shot,gun,72.0,M,B,Shreveport,OH,False,attack,Foot,False,-86.9985,31.303799999999995,True
2018-07-23,shot,vehicle,69.0,M,W,Silver Spring,CA,True,other,Not fleeing,False,-79.0749,27.378899999999998,True
2020-04-15,shot,gun,31.0,F,B,Blair,NM,True,attack,Not fleeing,False,-79.11359999999999,38.671200000000006,True
2021-02-15,shot,unarmed,43.0,M,B,Indian Wells,PA,False,other,Car,False,-73.51650000000001,25.956,True
2018-12-01,shot,gun,43.0,M,B,Tamarac,LA,False,attack,Not fleeing,False,-81.7416,39.5478,True
2015-02-23,shot,gun,46.0,M,W,Omaha,LA,False,attack,Not fleeing,False,-87.0453,29.4417,True
2019-04-16,shot,knife,39.0,M,H,Montesano,NY,False,other,Not fleeing,False,-108.8523,33.8256,True
2016-09-07,shot,box cutter,41.0,M,B,Wyoming,TX,True,other,Not fleeing,True,-84.0051,34.8201,True
2017-08-07,shot,unarmed,38.0,F,B,Wichita,FL,False,attack,Not fleeing,False,-107.80199999999999,33.1758,True
2018-03-06,shot,gun,59.0,M,W,North Manchester,NY,False,attack,Not fleeing,True,-86.3604,37.0611,True
2021-07-17,shot,gun,23.0,M,W,Las Vegas,TX,False,attack,Car,False,-69.2244,34.978500000000004,True
2020-02-25,shot,unarmed,39.0,F,W,Pocatello,IN,True,attack,Not fleeing,False,-108.909,33.8697,True
2020-01-05,shot,gun,31.0,M,H,Sparks,TX,False,attack,Not fleeing,False,-85.9374,27.278100000000002,True
2015-06-26,shot,machete,34.0,M,W,Malone,AL,True,attack,Not fleeing,False,-69.0759,36.0018,True
2019-03-09,shot,gun,58.0,M,H,Cheatham County,OR,False,attack,Not fleeing,False,-80.1225,38.270700000000005,True
2018-06-17,shot,gun,40.0,M,W,South Salt Lake,FL,False,attack,Car,False,-97.659,41.201100000000004,True
2019-02-14,shot,gun,28.0,M,W,Aspers,CO,False,attack,Not fleeing,False,-105.4476,29.691000000000003,True
2021-08-16,shot,gun,45.0,M,W,Loveland,GA,False,attack,Car,False,-85.7565,29.103300000000004,True
2020-04-23,shot,gun,74.0,M,W,Paterson,AR,True,attack,Not fleeing,False,-69.4422,35.8731,True
2015-07-27,shot,gun,27.0,M,W,Houma,FL,False,attack,Not fleeing,False,-87.6348,32.166000000000004,True
2020-08-08,shot,knife,28.0,M,W,Bossier City,AL,True,other,Not fleeing,False,-104.8608,29.412,True
2019-08-05,shot and Tasered,knife,65.0,M,W,Memphis,KY,True,other,Foot,False,-99.7425,29.025899999999996,True
2015-02-04,shot and Tasered,undetermined,42.0,F,W,Tempe,CA,False,attack,Car,False,-80.1351,27.36,True
2018-09-04,shot,gun,30.0,M,A,Westminster,MO,False,attack,Not fleeing,False,-86.1786,26.6733,True
2022-04-02,shot,gun,25.0,M,B,Savannah,TX,True,attack,Car,False,-74.0106,32.8365,True
2018-03-09,shot,gun,30.0,M,B,Arlington,AR,True,attack,Not fleeing,False,-134.83259999999999,55.0962,True
2019-06-01,shot,gun,36.0,M,B,Shreveport,AR,False,attack,Not fleeing,False,-77.2236,27.159299999999998,True
2017-07-04,shot,undetermined,37.0,M,W,Albuquerque,NC,False,other,Car,True,-75.5874,32.4009,True
2019-12-17,shot,gun,30.0,M,B,Great Falls,OK,False,attack,Foot,False,-106.7121,30.8169,True
2016-04-08,shot,gun,20.0,M,W,Lake Hallie,CA,False,attack,Foot,False,-105.5421,29.679299999999998,True
2019-10-17,shot and Tasered,gun,41.0,M,B,Oakridge,PA,True,other,Not fleeing,False,-72.2646,23.3451,True
2015-08-07,shot,gun,30.0,M,W,Las Vegas,FL,False,attack,Not fleeing,False,-74.1618,25.209899999999998,True
2018-03-12,shot,knife,46.0,M,W,Tulare,NC,True,other,Not fleeing,False,-86.34960000000001,26.810100000000002,True
2019-02-15,shot,knife,22.0,M,W,Aurora,MO,False,other,Not fleeing,False,-96.1605,29.056499999999996,True
2021-02-04,shot,gun,50.0,F,W,High Point,WA,False,attack,Car,False,-100.50479999999999,30.0735,True
2015-10-30,shot,gun,34.0,M,B,Old Town,NY,False,attack,Not fleeing,False,-75.9825,35.8668,True
2021-07-31,shot,gun,29.0,F,W,Woodville,CA,True,attack,Not fleeing,False,-105.6924,30.6567,True
2018-05-08,shot,knife,43.0,M,W,Glade Spring,CO,False,other,Not fleeing,False,-109.2906,34.696799999999996,True
2019-08-02,shot,toy weapon,32.0,M,H,Charlotte,AZ,False,attack,Car,False,-85.7844,26.7417,True
2015-02-28,shot,gun,21.0,M,W,St Louis,NC,False,attack,Foot,False,-78.8616,37.583999999999996,True
2020-02-24,shot,gun,57.0,M,N,Milwaukee,AK,False,attack,Not fleeing,False,-76.2489,30.648600000000002,True
